iter	Logloss
0	0.688282757
1	0.6837221063
2	0.6792818373
3	0.6753422046
4	0.6709461409
5	0.6664371809
6	0.663001502
7	0.6591306621
8	0.6548661908
9	0.6512239394
10	0.6480070297
11	0.644643786
12	0.6412721562
13	0.6376339641
14	0.6346923885
15	0.6312013345
16	0.6280505934
17	0.6257834564
18	0.6226527381
19	0.6200128602
20	0.6173464552
21	0.6141653697
22	0.611723188
23	0.6089639714
24	0.6062335575
25	0.6035757724
26	0.6009931313
27	0.5986027746
28	0.5960037835
29	0.5942917911
30	0.5922170046
31	0.5898059092
32	0.5873457485
33	0.5853594881
34	0.5832661054
35	0.5812719
36	0.5794268399
37	0.5774547465
38	0.5761869416
39	0.5746002802
40	0.5728389641
41	0.571134295
42	0.5695534298
43	0.5677577719
44	0.5658629388
45	0.5639130569
46	0.562835321
47	0.5614482703
48	0.560407036
49	0.5588897267
50	0.5575335426
51	0.5561330454
52	0.5548855494
53	0.5535437467
54	0.5522186846
55	0.5510585845
56	0.5495837925
57	0.5482873819
58	0.5469276736
59	0.5463782931
60	0.5453587384
61	0.5443198684
62	0.5432830938
63	0.5420847989
64	0.5408750843
65	0.5397860537
66	0.5387294369
67	0.5375842521
68	0.536554731
69	0.5357856655
70	0.534764599
71	0.5339669647
72	0.5330052787
73	0.5319085703
74	0.5307823507
75	0.5299355364
76	0.5293669787
77	0.5286100619
78	0.5278198971
79	0.5267425438
80	0.5259431853
81	0.5251241803
82	0.5245168369
83	0.5235841388
84	0.522879252
85	0.5223512917
86	0.5216506394
87	0.520862124
88	0.5202036055
89	0.5194796029
90	0.5189813675
91	0.518270569
92	0.5175547084
93	0.5168465901
94	0.5160936079
95	0.5153739708
96	0.5147817291
97	0.5141084709
98	0.5135510788
99	0.5131100479
100	0.5124805433
101	0.5118487994
102	0.5113492662
103	0.5106949351
104	0.5101320403
105	0.5096474464
106	0.5091696334
107	0.5085883338
108	0.5080107055
109	0.5074651408
110	0.5068867126
111	0.5064725409
112	0.5059994897
113	0.5055313653
114	0.5049541269
115	0.5045826166
116	0.5041732493
117	0.5037394065
118	0.503368632
119	0.5028443923
120	0.5024059863
121	0.5020539408
122	0.5017724642
123	0.5014854659
124	0.501078411
125	0.5005621221
126	0.5002837159
127	0.5000024626
128	0.4995759985
129	0.4992369189
130	0.4989032122
131	0.4985372981
132	0.4981568545
133	0.4979587873
134	0.4976575747
135	0.4973364074
136	0.4969788924
137	0.4965808619
138	0.4962656586
139	0.4958959105
140	0.4955650788
141	0.4953654215
142	0.4951532676
143	0.4948558849
144	0.4945249962
145	0.4942012503
146	0.4939243247
147	0.493580097
148	0.4932689288
149	0.4930401395
150	0.4928698988
151	0.492544122
152	0.4922619419
153	0.4920204895
154	0.4917508397
