iter	Passed	Remaining
0	2	2052
1	5	2021
2	7	1938
3	8	1749
4	10	1657
5	12	1644
6	14	1604
7	16	1582
8	18	1610
9	20	1589
10	21	1555
11	23	1544
12	25	1540
13	30	1677
14	32	1682
15	35	1710
16	37	1711
17	39	1685
18	41	1680
19	44	1736
20	47	1743
21	49	1740
22	51	1733
23	54	1735
24	56	1725
25	58	1711
26	59	1695
27	61	1692
28	63	1678
29	65	1669
30	67	1652
31	68	1640
32	71	1637
33	73	1640
34	75	1637
35	77	1628
36	79	1622
37	81	1618
38	83	1611
39	84	1600
40	87	1595
41	88	1590
42	91	1595
43	93	1589
44	95	1585
45	97	1581
46	99	1574
47	101	1573
48	103	1566
49	105	1561
50	107	1561
51	109	1556
52	111	1551
53	113	1547
54	114	1541
55	116	1535
56	118	1529
57	120	1522
58	122	1517
59	123	1506
60	125	1500
61	126	1494
62	128	1490
63	130	1485
64	132	1480
65	133	1475
66	135	1470
67	137	1466
68	139	1462
69	140	1456
70	142	1450
71	144	1445
72	146	1441
73	147	1437
74	149	1434
75	151	1432
76	153	1426
77	155	1423
78	157	1420
79	158	1416
80	160	1413
81	162	1411
82	164	1408
83	166	1405
84	168	1401
85	169	1397
86	171	1392
87	173	1388
88	175	1384
89	176	1380
90	178	1376
91	180	1372
92	182	1370
93	183	1366
94	185	1363
95	187	1359
96	188	1355
97	190	1351
98	192	1347
99	194	1344
100	195	1341
101	197	1339
102	199	1336
103	201	1332
104	202	1329
105	204	1325
106	206	1321
107	207	1317
108	209	1314
109	211	1312
110	212	1308
111	214	1305
112	216	1302
113	218	1298
114	219	1294
115	221	1291
116	222	1288
117	224	1285
118	226	1281
119	228	1280
120	230	1277
121	231	1273
122	233	1270
123	234	1267
124	236	1264
125	238	1260
126	239	1257
127	241	1254
128	243	1252
129	245	1249
130	246	1247
131	248	1245
132	250	1242
133	252	1239
134	253	1236
135	255	1233
136	256	1230
137	258	1228
138	260	1226
139	262	1223
140	264	1221
141	265	1217
142	267	1214
143	268	1211
144	270	1209
145	272	1206
146	273	1203
147	275	1201
148	277	1199
149	279	1196
150	280	1193
151	282	1190
152	284	1188
153	285	1185
154	287	1183
155	289	1180
156	290	1178
157	292	1176
158	294	1173
159	296	1171
160	297	1168
161	299	1165
162	300	1163
163	302	1160
164	304	1157
165	305	1155
166	307	1153
167	309	1150
168	311	1148
169	312	1146
170	314	1143
171	316	1141
172	317	1138
173	319	1136
174	321	1133
175	322	1131
176	324	1129
177	326	1127
178	327	1124
179	329	1122
180	331	1119
181	332	1117
182	334	1114
183	336	1112
184	337	1110
185	339	1109
186	341	1108
187	344	1107
188	345	1104
189	347	1101
190	348	1099
191	350	1097
192	352	1094
193	353	1092
194	355	1090
195	357	1088
196	358	1086
197	360	1084
198	362	1081
199	363	1079
200	365	1077
201	367	1074
202	368	1072
203	370	1069
204	372	1068
205	374	1066
206	375	1064
207	377	1062
208	379	1060
209	381	1058
210	383	1056
211	384	1054
212	386	1053
213	388	1051
214	390	1048
215	391	1046
216	393	1044
217	395	1042
218	396	1039
219	398	1037
220	399	1035
221	401	1032
222	403	1030
223	404	1028
224	406	1025
225	408	1023
226	409	1021
227	410	1018
228	412	1016
229	414	1013
230	415	1011
231	417	1009
232	419	1007
233	421	1006
234	422	1004
235	424	1001
236	426	999
237	427	997
238	429	995
239	430	992
240	432	990
241	434	988
242	436	987
243	437	985
244	439	983
245	441	981
246	443	979
247	444	977
248	446	975
249	448	973
250	449	970
251	451	968
252	453	967
253	455	965
254	456	963
255	458	962
256	460	960
257	462	958
258	464	956
259	465	954
260	467	952
261	469	951
262	470	949
263	472	947
264	474	945
265	476	943
266	477	941
267	479	938
268	480	936
269	482	934
270	484	933
271	486	931
272	487	928
273	489	926
274	490	924
275	492	922
276	494	920
277	495	918
278	497	916
279	499	914
280	501	913
281	502	910
282	504	909
283	506	906
284	507	904
285	509	902
286	510	900
287	512	898
288	514	896
289	515	894
290	517	892
291	519	890
292	520	888
293	522	886
294	523	884
295	525	882
296	527	880
297	528	878
298	530	876
299	532	874
300	534	873
301	535	871
302	537	869
303	539	867
304	540	865
305	542	863
306	544	861
307	545	859
308	547	857
309	549	855
310	551	854
311	553	852
312	555	851
313	557	849
314	558	847
315	560	845
316	562	844
317	563	842
318	565	840
319	567	838
320	569	836
321	570	835
322	572	833
323	574	831
324	576	829
325	577	827
326	579	825
327	580	823
328	582	821
329	584	819
330	586	817
331	587	816
332	589	814
333	590	812
334	592	810
335	594	808
336	595	806
337	597	804
338	599	802
339	600	800
340	602	798
341	604	796
342	605	794
343	607	792
344	608	790
345	610	788
346	612	787
347	614	785
348	615	783
349	617	781
350	618	779
351	620	777
352	622	775
353	623	773
354	625	771
355	627	769
356	628	768
357	630	766
358	632	764
359	633	762
360	635	760
361	637	758
362	638	756
363	640	754
364	641	752
365	643	750
366	645	749
367	647	747
368	648	745
369	650	743
370	651	741
371	653	739
372	655	737
373	656	735
374	658	733
375	660	732
376	661	730
377	663	728
378	665	726
379	666	724
380	668	722
381	670	721
382	671	719
383	673	717
384	675	715
385	677	714
386	678	712
387	680	710
388	682	708
389	684	706
390	685	704
391	687	703
392	688	701
393	690	699
394	692	697
395	693	695
396	695	693
397	696	691
398	698	689
399	700	687
400	701	685
401	703	684
402	704	682
403	706	680
404	708	678
405	709	676
406	711	674
407	713	672
408	714	671
409	716	669
410	718	667
411	719	665
412	721	663
413	722	661
414	724	659
415	726	658
416	727	656
417	729	654
418	731	653
419	733	651
420	734	649
421	736	647
422	738	645
423	739	643
424	741	641
425	743	640
426	744	638
427	746	636
428	748	634
429	749	632
430	751	631
431	753	629
432	754	627
433	756	625
434	758	624
435	760	622
436	761	620
437	763	618
438	765	616
439	766	615
440	768	613
441	770	611
442	771	609
443	773	607
444	775	606
445	776	604
446	778	602
447	780	600
448	781	598
449	783	597
450	785	595
451	786	593
452	788	591
453	790	590
454	792	588
455	793	586
456	795	585
457	797	583
458	799	581
459	800	579
460	802	577
461	804	576
462	806	574
463	807	572
464	809	570
465	811	569
466	812	567
467	814	565
468	816	563
469	817	562
470	819	560
471	821	558
472	822	556
473	824	554
474	826	553
475	827	551
476	829	549
477	831	547
478	832	545
479	834	544
480	835	542
481	837	540
482	839	538
483	841	536
484	842	535
485	844	533
486	845	531
487	847	529
488	849	527
489	850	526
490	852	524
491	854	522
492	856	521
493	857	519
494	859	517
495	861	515
496	862	513
497	864	512
498	866	510
499	867	508
500	869	506
501	871	505
502	873	503
503	875	501
504	876	500
505	878	498
506	880	496
507	881	494
508	883	492
509	885	491
510	887	489
511	888	487
512	890	486
513	892	484
514	893	482
515	895	480
516	897	478
517	898	477
518	900	475
519	902	473
520	903	471
521	905	470
522	907	468
523	908	466
524	910	464
525	912	463
526	913	461
527	915	459
528	917	457
